"TCID","ScenarioName","Steps","KeyFunction","ExecutionCondition","Br_Name","Param1","Param2","Param3"
"TC010","Verify whether member is able to select the  Status as All  from 'Show' Dropdown","Click on Email adress","click_On_link","Yes","Onlife","xpath",".//*[@id='form1']/div[3]/div[7]/table/tbody/tr[27]/td[4]/a",
"TC010",,"Tool wait time","ToolToWaitInMilliSeconds","Yes","Onlife",9000,,
"TC010",,"Click on 'DashBoard' link","click_On_link","Yes","Onlife","xpath",".//*[@id='HyperLink1']",
"TC010",,"Tool wait time","ToolToWaitInMilliSeconds","Yes","Onlife",5000,,
"TC010",,"Click on 'Go To DashBoard'","click_On_link","Yes","Onlife","xpath","html/body/div[3]/div[2]/form/div/table/tbody/tr/td[3]/a",
"TC010",,"Tool wait time","ToolToWaitInMilliSeconds","Yes","Onlife",5000,,
"TC010",,"Click on 'New Messages'","click_On_link","Yes","Onlife","xpath",".//*[@id='Menu1']/li[4]/a",
"TC010",,"Tool wait time","ToolToWaitInMilliSeconds","Yes","Onlife",5000,,
"TC010",,"Verify 'Coach page' is displayed","VerifyTextInParagraph","Yes","Onlife","xpath",".//*[@id='CoachTitle']/h1/span","Coach Page "
"TC010",,"Send a message","enter_Text","Yes",,,,
"TC010",,"Click on ''Show' dropdown and select 'All'","DropdownSelect","Yes","Onlife","xpath",".//*[@id='PostTypeDDB']","All"
"TC010",,"Verify Sent messages are displayed","VerifyTextInParagraph","Yes","Onlife","xpath",".//*[@id='pr']/ul/li[1]/div/div[1]/div/div/div/div[1]/p/span[2]","Sent: "
"TC010",,"Click on 'LogOff'","click_On_link","Yes","Onlife","xpath",".//*[@id='a_logout']",
"TC010",,"Tool wait time","ToolToWaitInMilliSeconds","Yes","Onlife",5000,,
"TC011","Verify whether member is able to select the  Status as Archive  from 'Show' Dropdown","Click on Email adress","click_On_link","Yes","Onlife","xpath",".//*[@id='form1']/div[3]/div[7]/table/tbody/tr[27]/td[4]/a",
"TC011",,"Tool wait time","ToolToWaitInMilliSeconds","Yes","Onlife",9000,,
"TC011",,"Click on 'DashBoard' link","click_On_link","Yes","Onlife","xpath",".//*[@id='HyperLink1']",
"TC011",,"Tool wait time","ToolToWaitInMilliSeconds","Yes","Onlife",5000,,
"TC011",,"Click on 'Go To DashBoard'","click_On_link","Yes","Onlife","xpath","html/body/div[3]/div[2]/form/div/table/tbody/tr/td[3]/a",
"TC011",,"Tool wait time","ToolToWaitInMilliSeconds","Yes","Onlife",5000,,
"TC011",,"Click on 'New Messages'","click_On_link","Yes","Onlife","xpath",".//*[@id='Menu1']/li[4]/a",
"TC011",,"Tool wait time","ToolToWaitInMilliSeconds","Yes","Onlife",5000,,
"TC011",,"Verify 'Coach page' is displayed","VerifyTextInParagraph","Yes","Onlife","xpath",".//*[@id='CoachTitle']/h1/span","Coach Page "
"TC011",,"Click on ''Show' dropdown and select 'Archive'","DropdownSelect","Yes","Onlife","xpath",".//*[@id='PostTypeDDB']","Archived"
"TC011",,"Tool wait time","ToolToWaitInMilliSeconds","Yes","Onlife",5000,,
"TC011",,"Click on 'LogOff'","click_On_link","Yes","Onlife","xpath",".//*[@id='a_logout']",
"TC011",,"Tool wait time","ToolToWaitInMilliSeconds","Yes","Onlife",5000,,
"TC012","Verify whether member is able to select the  Status as Deleted  from 'Show' Dropdown","Click on Email adress","click_On_link","Yes","Onlife","xpath",".//*[@id='form1']/div[3]/div[7]/table/tbody/tr[27]/td[4]/a",
"TC012",,"Tool wait time","ToolToWaitInMilliSeconds","Yes","Onlife",9000,,
"TC012",,"Click on 'DashBoard' link","click_On_link","Yes","Onlife","xpath",".//*[@id='HyperLink1']",
"TC012",,"Tool wait time","ToolToWaitInMilliSeconds","Yes","Onlife",5000,,
"TC012",,"Click on 'Go To DashBoard'","click_On_link","Yes","Onlife","xpath","html/body/div[3]/div[2]/form/div/table/tbody/tr/td[3]/a",
"TC012",,"Tool wait time","ToolToWaitInMilliSeconds","Yes","Onlife",5000,,
"TC012",,"Click on 'New Messages'","click_On_link","Yes","Onlife","xpath",".//*[@id='Menu1']/li[4]/a",
"TC012",,"Tool wait time","ToolToWaitInMilliSeconds","Yes","Onlife",5000,,
"TC012",,"Verify 'Coach page' is displayed","VerifyTextInParagraph","Yes","Onlife","xpath",".//*[@id='CoachTitle']/h1/span","Coach Page "
"TC012",,"Click on ''Show' dropdown and select 'Delete'","DropdownSelect","Yes","Onlife","xpath",".//*[@id='PostTypeDDB']","Deleted"
"TC012",,"Tool wait time","ToolToWaitInMilliSeconds","Yes","Onlife",5000,,
"TC012",,"Click on 'LogOff'","click_On_link","Yes","Onlife","xpath",".//*[@id='a_logout']",
"TC012",,"Tool wait time","ToolToWaitInMilliSeconds","Yes","Onlife",5000,,
"TC013","Verify whether member is able to select the  Status as Inbound  from 'Show' Dropdown","Click on Email adress","click_On_link","Yes","Onlife","xpath",".//*[@id='form1']/div[3]/div[7]/table/tbody/tr[27]/td[4]/a",
"TC013",,"Tool wait time","ToolToWaitInMilliSeconds","Yes","Onlife",9000,,
"TC013",,"Click on 'DashBoard' link","click_On_link","Yes","Onlife","xpath",".//*[@id='HyperLink1']",
"TC013",,"Tool wait time","ToolToWaitInMilliSeconds","Yes","Onlife",5000,,
"TC013",,"Click on 'Go To DashBoard'","click_On_link","Yes","Onlife","xpath","html/body/div[3]/div[2]/form/div/table/tbody/tr/td[3]/a",
"TC013",,"Tool wait time","ToolToWaitInMilliSeconds","Yes","Onlife",5000,,
"TC013",,"Click on 'New Messages'","click_On_link","Yes","Onlife","xpath",".//*[@id='Menu1']/li[4]/a",
"TC013",,"Tool wait time","ToolToWaitInMilliSeconds","Yes","Onlife",5000,,
"TC013",,"Verify 'Coach page' is displayed","VerifyTextInParagraph","Yes","Onlife","xpath",".//*[@id='CoachTitle']/h1/span","Coach Page "
"TC013",,"Click on ''Show' dropdown and select 'Inbound'","DropdownSelect","Yes","Onlife","xpath",".//*[@id='PostTypeDDB']","Inbound"
"TC013",,"Tool wait time","ToolToWaitInMilliSeconds","Yes","Onlife",5000,,
"TC013",,"Click on 'LogOff'","click_On_link","Yes","Onlife","xpath",".//*[@id='a_logout']",
"TC013",,"Tool wait time","ToolToWaitInMilliSeconds","Yes","Onlife",5000,,
"TC014","Verify whether member is able to select the  Status as Sent  from 'Show' Dropdown","invokeBrowser","invokeBrowser","Yes","Onlife",,,
"TC014",,"Enter 'Username'","enter_Text","Yes","Onlife","xpath","html/body/section[1]/section[2]/div[1]/form/input[1]","50_20150311_110138_102794"
"TC014",,"Enter “Password'","enter_Text","Yes","Onlife","xpath","html/body/section[1]/section[2]/div[1]/form/input[2]","Password1"
"TC014",,"Click on “Login”","click_On_Button","Yes","Onlife","xpath","html/body/section[1]/section[2]/div[1]/form/button",
"TC014",,"Tool wait time","ToolToWaitInMilliSeconds","Yes","Onlife",5000,,
"TC014",,"Click on 'New Messages'","click_On_link","Yes","Onlife","xpath",".//*[@id='Menu1']/li[4]/a",
"TC014",,"Tool wait time","ToolToWaitInMilliSeconds","Yes","Onlife",5000,,
"TC014",,"Verify 'Coach page' is displayed","VerifyTextInParagraph","Yes","Onlife","xpath",".//*[@id='CoachTitle']/h1/span","Coach Page "
"TC014",,"Click on ''Show' dropdown and select 'Sent Only'","DropdownSelect","Yes","Onlife","xpath",".//*[@id='PostTypeDDB']","Sent Only"
"TC014",,"Verify Sent messages are displayed","VerifyTextInParagraph","Yes","Onlife","xpath",".//*[@id='pr']/ul/li[1]/div/div[1]/div/div/div/div[1]/p/span[2]","Sent: "
"TC014",,"Tool wait time","ToolToWaitInMilliSeconds","Yes","Onlife",5000,,
"TC014",,"Click on 'LogOff'","click_On_link","Yes","Onlife","xpath",".//*[@id='a_logout']",
"TC014",,"Tool wait time","ToolToWaitInMilliSeconds","Yes","Onlife",5000,,
"TC015","Verify whether member is able to select the  Status as Active  from 'Show' Dropdown","invokeBrowser","invokeBrowser","Yes","Onlife",,,
"TC015",,"Enter 'Username'","enter_Text","Yes","Onlife","xpath","html/body/section[1]/section[2]/div[1]/form/input[1]","50_20150311_110138_102794"
"TC015",,"Enter “Password'","enter_Text","Yes","Onlife","xpath","html/body/section[1]/section[2]/div[1]/form/input[2]","Password1"
"TC015",,"Click on “Login”","click_On_Button","Yes","Onlife","xpath","html/body/section[1]/section[2]/div[1]/form/button",
"TC015",,"Tool wait time","ToolToWaitInMilliSeconds","Yes","Onlife",5000,,
"TC015",,"Click on 'New Messages'","click_On_link","Yes","Onlife","xpath",".//*[@id='Menu1']/li[4]/a",
"TC015",,"Tool wait time","ToolToWaitInMilliSeconds","Yes","Onlife",5000,,
"TC015",,"Verify 'Coach page' is displayed","VerifyTextInParagraph","Yes","Onlife","xpath",".//*[@id='CoachTitle']/h1/span","Coach Page "
"TC015",,"Click on ''Show' dropdown and select 'Active'","DropdownSelect","Yes","Onlife","xpath",".//*[@id='PostTypeDDB']","Active"
"TC015",,"Verify Sent messages are displayed","VerifyTextInParagraph","Yes","Onlife","xpath",".//*[@id='pr']/ul/li[1]/div/div[1]/div/div/div/div[1]/p/span[2]","Sent: "
"TC015",,"Tool wait time","ToolToWaitInMilliSeconds","Yes","Onlife",5000,,
"TC015",,"Click on 'LogOff'","click_On_link","Yes","Onlife","xpath",".//*[@id='a_logout']",
"TC015",,"Tool wait time","ToolToWaitInMilliSeconds","Yes","Onlife",5000,,
"TC016","Verify the user is able to Complete course by selecting “Quitting Tobacco” Program under“ONMYTIME”.","Click on Email adress","click_On_link","Yes","Onlife","xpath",".//*[@id='form1']/div[3]/div[7]/table/tbody/tr[27]/td[4]/a",
"TC016",,"Tool wait time","ToolToWaitInMilliSeconds","Yes","Onlife",9000,,
"TC016",,"Click on 'DashBoard' link","click_On_link","Yes","Onlife","xpath",".//*[@id='HyperLink1']",
"TC016",,"Tool wait time","ToolToWaitInMilliSeconds","Yes","Onlife",5000,,
"TC016",,"Click on 'Go To DashBoard'","click_On_link","Yes","Onlife","xpath","html/body/div[3]/div[2]/form/div/table/tbody/tr/td[3]/a",
"TC016",,"Tool wait time","ToolToWaitInMilliSeconds","Yes","Onlife",5000,,
"TC016",,"Click on 'View More Courses”","click_On_link","Yes","Onlife","xpath","html/body/form[1]/div[3]/div[2]/div[2]/div[1]/div[1]/div[2]/div[2]/div[1]/div/div/div/div/div[1]/div/div/div[5]/p/a/span",
"TC016",,"Tool wait time","ToolToWaitInMilliSeconds","Yes","Onlife",5000,,
"TC016",,"Click on “Quitting tobacco”","click_On_link","Yes","Onlife","xpath",".//*[@id='Courses_1168905']/div/div/div/div/div[1]/div/div/div[4]/span/ul/li[3]/a/span[1]/img[@src='/content/courses/images/Dashboard_Images/courseImg_smoking.jpg']",
"TC016",,"Tool wait time","ToolToWaitInMilliSeconds","Yes","Onlife",5000,,
"TC016",,"Click on “Lesson 1”","click_On_link","Yes","Onlife","xpath",".//*[@id='Lessons_0']/a[1]/div",
"TC016",,"Tool wait time","ToolToWaitInMilliSeconds","Yes","Onlife",5000,,
"TC016",,"Click on 'Start Lesson”","click_On_link","Yes","Onlife","xpath",".//*[@id='FirstLesson']/span",
"TC016",,"Tool wait time","ToolToWaitInMilliSeconds","Yes","Onlife",5000,,
,,"Verify 'Lesson 1:Beginning with Basics' page is open","VerifyTextInParagraph","Yes","Onlife","xpath",".//*[@id='wrapper']/div[2]/div[2]/div[1]/div[1]/div[1]/span[2]","Beginning with Basics  "
,,"Click on “Next Page”","click_On_Button","Yes","Onlife","xpath",".//*[@id='CourseLesson_281']/div[4]/a/span",
,,"Verify 'Welcome” in the page","VerifyTextInParagraph","Yes","Onlife","xpath",".//*[@id='CourseLesson_281']/h2","Welcome!"
,,"Click on “Next Page”","click_On_Button","Yes","Onlife","xpath",".//*[@id='CourseLesson_281']/div[4]/a[1]/span",
,,"Verify 'Tobacco and Your Health' in the page","VerifyTextInParagraph","Yes","Onlife","xpath",".//*[@id='CourseLesson_281']/h2","Tobacco and Your Health "
,,"Click on “Next Page”","click_On_Button","Yes","Onlife","xpath",".//*[@id='CourseLesson_281']/div[4]/a[1]/span",
,,"Verify ' It's Not Just a Habit...It's an Addiction' in the page","VerifyTextInParagraph","Yes","Onlife","xpath",".//*[@id='CourseLesson_281']/h2","It's Not Just a Habit...It's an Addiction "
,,"Click on “Next Page”","click_On_Button","Yes","Onlife","xpath",".//*[@id='CourseLesson_281']/div[4]/a[1]/span",
,,"Verify 'Is Now the Right Time? How Ready are You?' in the page","VerifyTextInParagraph","Yes","Onlife","xpath",".//*[@id='CourseLesson_281']/h2","Is Now the Right Time? How Ready are You? "
,,"Click on “Next Page”","click_On_Button","Yes","Onlife","xpath",".//*[@id='CourseLesson_281']/div[4]/a[1]/span",
,,"Verify 'Goal: ""the result or achievement toward which effort is directed' in the page","VerifyTextInParagraph","Yes","Onlife","xpath",".//*[@id='CourseLesson_281']/h2","Goal: ""the result or achievement toward which effort is directed"
,,"Click on “Next Page”","click_On_Button","Yes","Onlife","xpath",".//*[@id='CourseLesson_281']/div[4]/a[1]/span",
,,"Verify 'Wrapping up...Looking ahead' in the page","VerifyTextInParagraph","Yes","Onlife","xpath",".//*[@id='CourseLesson_281']/h2","Wrapping up...Looking ahead"
,,"Click on”Finish'","click_On_Button","Yes","Onlife","xpath",".//*[@id='CourseLesson_281']/div[5]/a[1]/span",
,,"Tool wait time","ToolToWaitInMilliSeconds","Yes","Onlife",5000,,
,,"Click on 'Lesson 2'","click_On_Button","Yes","Onlife","xpath",".//*[@id='Lessons_37950']/a[2]/div",
,,"Click on 'Get Started'","click_On_Button","Yes","Onlife","xpath",".//*[@id='lessons']/div[2]/div/div[2]/a/span",
,,"Click on 'Start Lesson' for Lesson 2","click_On_Button","Yes","Onlife","xpath",".//*[@id='lessons']/div[5]/a[2]/span",
,,"Verify 'Setting the Stage' in the page","VerifyTextInParagraph","Yes","Onlife","xpath",".//*[@id='wrapper']/div[2]/div[2]/div[1]/div[1]/div[1]/span[2]","Setting the Stage"
,,"Click on “Next Page”","click_On_Button","Yes","Onlife","xpath",".//*[@id='CourseLesson_282']/div[5]/a/span",
,,"Verify 'Here are four quit methods. Which sounds best for you?'","VerifyTextInParagraph","Yes","Onlife","xpath",".//*[@id='CourseLesson_282']/h2","Here are four quit methods. Which sounds best for you?"
,,"Click on “Next Page”","click_On_Button","Yes","Onlife","xpath",".//*[@id='CourseLesson_282']/div[4]/a[1]/span",
,,"Verify'Setting Up Your Environment for Success' in the page","VerifyTextInParagraph","Yes","Onlife","xpath",".//*[@id='CourseLesson_282']/h2","Setting Up Your Environment for Success "
,,"Click on “Next Page”","click_On_Button","Yes","Onlife","xpath",".//*[@id='CourseLesson_282']/div[4]/a[1]/span",
,,"Verify ' Your Surroundings and Other People' in the page","VerifyTextInParagraph","Yes","Onlife","xpath",".//*[@id='CourseLesson_282']/h2","Your Surroundings and Other People"
,,"Click on “Next Page”","click_On_Button","Yes","Onlife","xpath",".//*[@id='CourseLesson_282']/div[4]/a[1]/span",
,,"Verify ' Using ""S.T.A.R.T"" to Stop' in the page","VerifyTextInParagraph","Yes","Onlife","xpath",".//*[@id='CourseLesson_282']/h2","Using ""S.T.A.R.T"" to Stop"
,,"Click on “Next Page”","click_On_Button","Yes","Onlife","xpath",".//*[@id='CourseLesson_282']/div[4]/a[1]/span",
,,"Verify ' Wrapping Up and Looking Ahead” in the page","VerifyTextInParagraph","Yes","Onlife","xpath",".//*[@id='CourseLesson_282']/h2","Wrapping Up and Looking Ahead"
,,"Click on “Finish”","click_On_Button","Yes","Onlife","xpath",".//*[@id='CourseLesson_282']/div[5]/a[1]/span",
,,"Tool wait time","ToolToWaitInMilliSeconds","Yes","Onlife",5000,,
,,"Click on 'Lesson 3'","click_On_Button","Yes","Onlife","xpath",".//*[@id='Lessons_37950']/a[3]/div",
,,"Click on 'Start Lesson' for Lesson 3","click_On_Button","Yes","Onlife","xpath",".//*[@id='lessons']/div[5]/a[2]/span",
,,"Verify ' Dorothy and the Three-Link Chain' in the page","VerifyTextInParagraph","Yes","Onlife","xpath",".//*[@id='CourseLesson_283']/h2","Dorothy and the Three-Link Chain"
,,"Click on “Next Page”","click_On_Button","Yes","Onlife","xpath",".//*[@id='CourseLesson_283']/div[5]/a/span",
,,"Verify ' Dorothy and the Three-Link Chain'","VerifyTextInParagraph","Yes","Onlife","xpath",".//*[@id='CourseLesson_283']/h2"," Dorothy and the Three-Link Chain"
,,"Click on “Next Page”","click_On_Button","Yes","Onlife","xpath",".//*[@id='CourseLesson_283']/div[4]/a[1]/span",
,,"Verify'The first link in the three-link chain is' in the page","VerifyTextInParagraph","Yes","Onlife","xpath",".//*[@id='CourseLesson_283']/h4[1]","The first link in the three-link chain is"
,,"Click on “Next Page”","click_On_Button","Yes","Onlife","xpath",".//*[@id='CourseLesson_283']/div[4]/a[1]/span",
,,"Verify  'Thinking Points' in the page","VerifyTextInParagraph","Yes","Onlife","xpath",".//*[@id='CourseLesson_283']/h2","Thinking Points"
,,"Click on “Next Page”","click_On_Button","Yes","Onlife","xpath",".//*[@id='CourseLesson_283']/div[4]/a[1]/span",
,,"Verify '  Don't Go It Alone: Getting on Track with Others' in the page","VerifyTextInParagraph","Yes","Onlife","xpath",".//*[@id='CourseLesson_283']/h2","Don't Go It Alone: Getting on Track with Others"
,,"Click on “Next Page”","click_On_Button","Yes","Onlife","xpath",".//*[@id='CourseLesson_283']/div[4]/a[1]/span",
,,"Verify ' Wrapping Up and Looking Ahead” in the page","VerifyTextInParagraph","Yes","Onlife","xpath",".//*[@id='CourseLesson_283']/h2","Wrapping Up and Looking Ahead"
,,"Click on “Finish”","click_On_Button","Yes","Onlife","xpath",".//*[@id='CourseLesson_283']/div[5]/a[1]/span",
,,"Tool wait time","ToolToWaitInMilliSeconds","Yes","Onlife",5000,,
,,"Click on 'Lesson 4'","click_On_Button","Yes","Onlife","xpath",".//*[@id='Lessons_37950']/a[4]/div",
,,"Click on 'Start Lesson' for Lesson 4","click_On_Button","Yes","Onlife","xpath",".//*[@id='lessons']/div[5]/a[2]/span",
,,"Tool wait time","ToolToWaitInMilliSeconds","Yes","Onlife",5000,,
,,"Click on “Next Page”","click_On_Button","Yes","Onlife","xpath",".//*[@id='CourseLesson_284']/div[5]/a/span",
,,"Verify 'Motivation'","VerifyTextInParagraph","Yes","Onlife","xpath",".//*[@id='CourseLesson_284']/h2","Motivation "
,,"Click on “Next Page”","click_On_Button","Yes","Onlife","xpath",".//*[@id='CourseLesson_284']/div[4]/a[1]/span",
,,"Verify'My Positive Motivators' in the page","VerifyTextInParagraph","Yes","Onlife","xpath",".//*[@id='CourseLesson_284']/h4[1]","My Positive Motivators"
,,"Click on “Next Page”","click_On_Button","Yes","Onlife","xpath",".//*[@id='CourseLesson_284']/div[4]/a[1]/span",
,,"Verify  'My Negative Motivators: ""Why Do I Use Tobacco?""' in the page","VerifyTextInParagraph","Yes","Onlife","xpath",".//*[@id='CourseLesson_284']/h2","My Negative Motivators: ""Why Do I Use Tobacco?"""
,,"Click on “Next Page”","click_On_Button","Yes","Onlife","xpath",".//*[@id='CourseLesson_284']/div[5]/a[1]/span",
,,"Verify ' Is It Too Late for Some People?' in the page","VerifyTextInParagraph","Yes","Onlife","xpath",".//*[@id='CourseLesson_284']/h2","Is It Too Late for Some People?"
,,"Click on “Next Page”","click_On_Button","Yes","Onlife","xpath",".//*[@id='CourseLesson_284']/div[5]/a[1]/span",
,,"Verify ' Wrapping Up and Looking Ahead” in the page","VerifyTextInParagraph","Yes","Onlife","xpath",".//*[@id='CourseLesson_284']/h2","Wrapping Up and Looking Ahead"
,,"Click on “Finish”","click_On_Button","Yes","Onlife","xpath",".//*[@id='CourseLesson_284']/div[5]/a[1]/span",
,,"Tool wait time","ToolToWaitInMilliSeconds","Yes","Onlife",5000,,
,,"Click on 'Lesson 5'","click_On_Button","Yes","Onlife","xpath",".//*[@id='Lessons_37950']/a[5]/div",
,,"Click on 'Start Lesson' for Lesson 5","click_On_Button","Yes","Onlife","xpath",".//*[@id='lessons']/div[5]/a[2]/span",
,,"Tool wait time","ToolToWaitInMilliSeconds","Yes","Onlife",5000,,
,,"Click on “Next Page”","click_On_Button","Yes","Onlife","xpath",".//*[@id='CourseLesson_285']/div[5]/a/span",
,,"Verify 'NO SHORTCUTS!'","VerifyTextInParagraph","Yes","Onlife","xpath",".//*[@id='CourseLesson_285']/h2","NO SHORTCUTS! "
,,"Click on “Next Page”","click_On_Button","Yes","Onlife","xpath",".//*[@id='CourseLesson_285']/div[4]/a[1]/span",
,,"Verify'	Returning to S.T.A.R.T.' in the page","VerifyTextInParagraph","Yes","Onlife","xpath",".//*[@id='CourseLesson_283']/h4[1]","Returning to S.T.A.R.T."
,,"Click on “Next Page”","click_On_Button","Yes","Onlife","xpath",".//*[@id='CourseLesson_285']/div[4]/a[1]/span",
,,"Verify  'Set a Quit Date' in the page","VerifyTextInParagraph","Yes","Onlife","xpath",".//*[@id='CourseLesson_285']/h2","My Negative Motivators: ""Why Do I Use Tobacco?"""
,,"Click on “Next Page”","click_On_Button","Yes","Onlife","xpath",".//*[@id='CourseLesson_285']/div[4]/a[1]/span",
,,"Verify 'ell Others about Your Plan to Quit' in the page","VerifyTextInParagraph","Yes","Onlife","xpath",".//*[@id='CourseLesson_285']/h2","ell Others about Your Plan to Quit"
,,"Click on “Next Page”","click_On_Button","Yes","Onlife","xpath",".//*[@id='CourseLesson_285']/div[4]/a[1]/span",
,,"Verify 'Anticipate and Plan for Triggers” in the page","VerifyTextInParagraph","Yes","Onlife","xpath",".//*[@id='CourseLesson_285']/h2","nticipate and Plan for Triggers"
,,"Click on “Next Page”","click_On_Button","Yes","Onlife","xpath",".//*[@id='CourseLesson_285']/div[4]/a[1]/span",
,,"Verify 'Remove Tobacco Products from Your Home, Car and Work' in the page","VerifyTextInParagraph","Yes","Onlife","xpath",".//*[@id='CourseLesson_285']/h2","emove Tobacco Products from Your Home, Car and Work"
,,"Click on “Next Page”","click_On_Button","Yes","Onlife","xpath",".//*[@id='CourseLesson_285']/div[4]/a[1]/span",
,,"Verify 'Talk to Your Doctor about Getting Help to Quit” in the page","VerifyTextInParagraph","Yes","Onlife","xpath",".//*[@id='CourseLesson_285']/h2","Alk to Your Doctor about Getting Help to Quit"
,,"Click on “Next Page”","click_On_Button","Yes","Onlife","xpath",".//*[@id='CourseLesson_285']/div[4]/a[1]/span",
,,"Verify ' Wrapping Up and Looking Ahead” in the page","VerifyTextInParagraph","Yes","Onlife","xpath",".//*[@id='CourseLesson_285']/h2","Wrapping Up and Looking Ahead"
,,"Click on “Finish”","click_On_Button","Yes","Onlife","xpath",".//*[@id='CourseLesson_285']/div[4]/a[1]/span",
,,"Tool wait time","ToolToWaitInMilliSeconds","Yes","Onlife",5000,,
,,"Click on 'Lesson 6'","click_On_Button","Yes","Onlife","xpath",".//*[@id='Lessons_37950']/a[5]/div",
,,"Click on 'Start Lesson' for Lesson 6","click_On_Button","Yes","Onlife","xpath",".//*[@id='lessons']/div[5]/a[2]/span",
,,"Tool wait time","ToolToWaitInMilliSeconds","Yes","Onlife",5000,,
,,"Click on “Next Page”","click_On_Button","Yes","Onlife","xpath",".//*[@id='CourseLesson_286']/div[5]/a/span",
,,"Verify 'Medication for Physical Withdrawal'","VerifyTextInParagraph","Yes","Onlife","xpath",".//*[@id='CourseLesson_286']/h2","Medication for Physical Withdrawal"
,,"Click on “Next Page”","click_On_Button","Yes","Onlife","xpath",".//*[@id='CourseLesson_286']/div[4]/a[1]/span",
,,"Verify'Nicotine Replacement Therapy (NRT)' in the page","VerifyTextInParagraph","Yes","Onlife","xpath",".//*[@id='CourseLesson_286']/h2","Nicotine Replacement Therapy (NRT)"
,,"Click on “Next Page”","click_On_Button","Yes","Onlife","xpath",".//*[@id='CourseLesson_286']/div[4]/a[1]/span",
,,"Verify  'Other Medications (Non-Nicotine)' in the page","VerifyTextInParagraph","Yes","Onlife","xpath",".//*[@id='CourseLesson_286']/h2","Other Medications (Non-Nicotine)"
,,"Click on “Next Page”","click_On_Button","Yes","Onlife","xpath",".//*[@id='CourseLesson_286']/div[4]/a[1]/span",
,,"Verify ' Deciding on Medications' in the page","VerifyTextInParagraph","Yes","Onlife","xpath",".//*[@id='CourseLesson_286']/h2","Deciding on Medications"
,,"Click on “Next Page”","click_On_Button","Yes","Onlife","xpath",".//*[@id='CourseLesson_286']/div[4]/a[1]/span",
,,"Verify ' Wrapping Up and Looking Ahead” in the page","VerifyTextInParagraph","Yes","Onlife","xpath",".//*[@id='CourseLesson_286']/h2","Wrapping Up and Looking Ahead"
,,"Click on “Finish”","click_On_Button","Yes","Onlife","xpath",".//*[@id='CourseLesson_286']/div[4]/a[1]/span",
,,"Tool wait time","ToolToWaitInMilliSeconds","Yes","Onlife",5000,,
,,"Click on 'Lesson 7'","click_On_Button","Yes","Onlife","xpath",".//*[@id='Lessons_37950']/a[7]/div",
